timestamp,student_id,session_id,topic,bloom_level,question_id,selected,correct_option,is_correct,confidence,mode,response_time_sec,reinforcement_reason
2025-11-26 14:22:57,folajimiy,1764184956,Abstract Classes,Analyze,dbae852a-358f-4071-921e-8159a12c7408,b,b,True,2,Practice,4.761843204498291,🎯 Selecting medium-difficulty item
2025-11-26 14:23:56,folajimiy,1764184956,Abstract Classes,Remember,3f1a9384-e3bc-42d7-8f42-c14f3d8a6516,a,d,False,2,Practice,42.90095233917236,🎯 Selecting medium-difficulty item
2025-11-26 15:09:54,folajimiy,1764184956,Abstract Classes,Understand,6034a73d-a11d-414c-8868-253d3ceb380c,b,d,False,4,Practice,116.67126297950745,🎯 Selecting medium-difficulty item
2025-11-26 15:12:13,folajimiy,1764184956,Abstract Classes,Analyze,c09b2293-0ecd-4b71-bd2e-33f97e8723ec,d,d,True,2,Practice,122.99982047080994,🎯 Selecting medium-difficulty item
2025-11-26 18:09:22,folajimiy,1764198387,Arrays,Evaluate,35a5d6d3-9272-45d9-a292-41f92b5185b4,d,b,False,2,Practice,123.5368001461029,🎯 Selecting medium-difficulty item
2025-11-26 18:31:41,folajimiy,1764198387,Arrays,Analyze,cb0ee24d-8cd9-4bcd-abb9-894717a54db8,b,b,True,5,Practice,191.7711522579193,🎯 Selecting medium-difficulty item
2025-11-26 18:32:55,folajimiy,1764198387,Arrays,Evaluate,bf14a199-966d-4de3-9133-adc7d4dfe553,c,c,True,5,Practice,68.0280773639679,🎯 Selecting medium-difficulty item
2025-11-26 18:33:35,folajimiy,1764198387,Arrays,Apply,d60ece8f-0560-4fce-b6dd-061c13a51dc1,c,c,True,5,Practice,34.154338359832764,🎯 Selecting medium-difficulty item
2025-11-26 19:03:15,folajimiy,1764201282,Abstract Classes,Apply,514,d,d,True,5,Practice,501.2597334384918,🎯 Selecting medium-difficulty item
2025-11-26 19:04:11,folajimiy,1764201282,Abstract Classes,Understand,513,a,d,False,3,Practice,51.39147615432739,🎯 Selecting medium-difficulty item
2025-11-26 19:04:19,folajimiy,1764201282,Abstract Classes,Apply,530,a,b,False,4,Practice,4.7393479347229,🎯 Selecting medium-difficulty item
2025-11-26 19:04:28,folajimiy,1764201282,Abstract Classes,Understand,526,d,b,False,3,Practice,6.5036070346832275,🎯 Selecting medium-difficulty item
2025-11-26 19:04:38,folajimiy,1764201282,Abstract Classes,Apply,515,a,a,True,3,Practice,6.985105514526367,🎯 Selecting medium-difficulty item
2025-11-26 19:04:46,folajimiy,1764201282,Abstract Classes,Analyze,532,c,d,False,2,Practice,4.716965198516846,🎯 Selecting medium-difficulty item
2025-11-26 19:04:52,folajimiy,1764201282,Abstract Classes,Analyze,517,b,c,False,2,Practice,4.10039210319519,🎯 Selecting medium-difficulty item
2025-11-26 19:05:00,folajimiy,1764201282,Abstract Classes,Apply,499,b,c,False,2,Practice,5.6971189975738525,🎯 Selecting medium-difficulty item
2025-11-26 19:05:08,folajimiy,1764201282,Abstract Classes,Evaluate,506,a,d,False,1,Practice,5.707327365875244,🎯 Selecting medium-difficulty item
2025-11-26 19:05:16,folajimiy,1764201282,Abstract Classes,Apply,531,a,c,False,1,Practice,4.124185800552368,🎯 Selecting medium-difficulty item
2025-11-26 19:21:29,folajimiy,1764201282,Arrays,Analyze,534,d,d,True,5,Test,47.40312576293945,🎯 Selecting medium-difficulty item
2025-11-26 19:21:54,folajimiy,1764201282,Arrays,Evaluate,208,c,c,True,5,Test,22.803706884384155,🎯 Selecting medium-difficulty item
2025-11-26 20:13:10,folajimiy,1764205910,Java Fundamentals,Evaluate,28,d,c,False,3,Practice,63.61078953742981,🎯 Selecting medium-difficulty item
2025-11-26 20:15:32,folajimiy,1764205910,Java Fundamentals,Evaluate,13,d,d,True,4,Practice,66.93621921539307,🎯 Selecting medium-difficulty item
2025-11-26 20:16:32,folajimiy,1764205910,Java Fundamentals,Apply,52,a,a,True,5,Practice,55.41175079345703,🎯 Selecting medium-difficulty item
2025-11-26 20:17:36,folajimiy,1764205910,Java Fundamentals,Analyze,11,c,c,True,4,Practice,61.839348554611206,🎯 Selecting medium-difficulty item
2025-11-26 20:18:21,folajimiy,1764205910,Java Fundamentals,Analyze,55,b,b,True,2,Practice,42.51250076293945,🎯 Selecting medium-difficulty item
2025-11-26 20:20:07,folajimiy,1764205910,Java Fundamentals,Evaluate,29,d,c,False,4,Practice,99.703533411026,🎯 Selecting medium-difficulty item
2025-11-27 06:43:47,folajimiy,1764243754,Interfaces,Analyze,2077,a,d,False,1,Free Practice,41.332186698913574,🎯 Selecting medium-difficulty item,"{""A"": [""misunderstand_interface_rules"", ""overestimate_compilation_constraints""], ""B"": [""confuse_method_declaration_with_implementation""], ""C"": [""misunderstand_method_resolution"", ""fear_runtime_complexity""], ""D"": []}"
2025-11-27 06:44:21,folajimiy,1764243754,Inheritance,Understand,1652,b,a,False,1,Free Practice,19.8759982585907,🎯 Selecting medium-difficulty item,"{""A"": [""correct_inheritance_understanding""], ""B"": [""confuse_object_creation"", ""misunderstand_constructor_call""], ""C"": [""confuse_this_and_super"", ""keyword_semantics_misunderstanding""], ""D"": [""misunderstand_access_modifiers"", ""inheritance_boundary_confusion""]}"
2025-11-27 06:51:03,folajimiy,1764244248,Abstract Classes,Evaluate,3821,a,c,False,1,Guided Practice,8.642200231552124,🎯 Selecting medium-difficulty item,"{""A"": [""exception_as_implementation"", ""contract_violation""], ""B"": [""dummy_return_acceptable"", ""method_contract_misunderstanding""], ""C"": [], ""D"": [""abstract_method_propagation_misunderstood""]}"
2025-11-27 06:51:24,folajimiy,1764244248,Abstract Classes,Analyze,503,a,b,False,2,Guided Practice,5.972199201583862,🎯 Selecting medium-difficulty item,"{""A"": [""misunderstand_abstract_method_definition"", ""confuse_concrete_and_abstract_methods""], ""B"": [], ""C"": [""misinterpret_method_behavior"", ""confuse_abstract_with_default_methods""], ""D"": [""misunderstand_abstract_class_instantiation"", ""ignore_implementation_requirements""]}"
2025-11-27 06:52:13,folajimiy,1764244248,Abstract Classes,Evaluate,1883,a,b,False,5,Guided Practice,43.865702867507935,🎯 Selecting medium-difficulty item,"{""A"": [""misunderstand_abstract_class_purpose"", ""confuse_class_declaration_rules""], ""B"": [""correct_abstract_method_implementation""], ""C"": [""weaken_type_safety"", ""ignore_contract_requirements""], ""D"": [""misunderstand_abstract_method_semantics""]}"
2025-11-27 06:54:31,folajimiy,1764244456,Event-Driven Programming,Analyze,4612,a,d,False,2,Free Practice,5.488000392913818,🎯 Selecting medium-difficulty item,"{""A"": [""misunderstand_volatile_keyword"", ""thread_synchronization_confusion""], ""B"": [""lambda_scope_misunderstanding""], ""C"": [""thread_model_misconception"", ""event_handling_misunderstanding""], ""D"": []}"
2025-11-27 06:55:06,folajimiy,1764244456,Arrays,Evaluate,3597,a,d,False,1,Topic Test,6.602570295333862,🎯 Selecting medium-difficulty item,"{""A"": [""misunderstand_array_indexing"", ""incomplete_index_correction""], ""B"": [""unnecessary_initialization"", ""misunderstand_min_value""], ""C"": [""over_complicate_solution"", ""avoid_core_problem""], ""D"": []}"
2025-11-27 06:58:16,folajimiy,1764244456,Strings,Evaluate,792,c,c,True,5,Exam Simulator,109.707035779953,🎯 Selecting medium-difficulty item,"{""A"": [""misunderstand_string_equals"", ""string_interning_misconception""], ""B"": [""confuse_reference_with_content"", ""object_identity_misunderstanding""], ""C"": [], ""D"": [""reverse_comparison_method_understanding"", ""misinterpret_reference_comparison""]}"
2025-11-27 06:59:19,folajimiy,1764244456,JavaFX,Understand,2501,d,d,True,5,Exam Simulator,58.74092674255371,🎯 Selecting medium-difficulty item,"{""A"": [""incorrect_scene_node_containment"", ""misunderstand_stage_multiplicity""], ""B"": [""direct_node_management_misconception""], ""C"": [""reversed_stage_scene_containment"", ""node_stage_management_error""], ""D"": []}"
2025-11-27 07:01:33,folajimiy,1764244456,Loops,Understand,3525,c,d,False,5,Exam Simulator,131.01615810394287,🎯 Selecting medium-difficulty item,"{""A"": [""miscount_loop_iterations"", ""ignore_break_continue""], ""B"": [""underestimate_loop_increments""], ""C"": [""misunderstand_loop_termination""], ""D"": []}"
2025-11-27 07:12:44,folajimiy,1764244456,Abstract Classes,Remember,3788,b,b,True,5,Guided Practice,637.6970355510712,🎯 Selecting medium-difficulty item,"{""A"": [""misunderstand_method_extension"", ""restrict_subclass_capabilities""], ""B"": [""correct_understanding""], ""C"": [""misunderstand_method_inheritance""], ""D"": [""confuse_abstract_instantiation_rules""]}"
