timestamp,student_id,session_id,topic,bloom_level,question_id,selected,correct_option,is_correct,confidence,reinforcement_reason
2025-10-23 14:12:49,111111,1761243154,Basic Syntax,Understand,7,b,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:13:21,111111,1761243196,Basic Syntax,Understand,86,c,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:26:00,111111,1761243901,Basic Syntax,Understand,199,b,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:29:58,111111,1761244193,Basic Syntax,Understand,109,b,b,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:28,111111,1761244407,Basic Syntax,Understand,55,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:28,111111,1761244407,Basic Syntax,Understand,55,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:54,111111,1761244407,Basic Syntax,Understand,205,c,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:28,111111,1761244407,Basic Syntax,Understand,55,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:54,111111,1761244407,Basic Syntax,Understand,205,c,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:37:10,111111,1761244407,Basic Syntax,Understand,73,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:28,111111,1761244407,Basic Syntax,Understand,55,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:54,111111,1761244407,Basic Syntax,Understand,205,c,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:37:10,111111,1761244407,Basic Syntax,Understand,73,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:37:29,111111,1761244407,Basic Syntax,Analyze,336,c,a,False,3,⬆️ Progressing to: Analyze
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:28,111111,1761244407,Basic Syntax,Understand,55,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:54,111111,1761244407,Basic Syntax,Understand,205,c,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:37:10,111111,1761244407,Basic Syntax,Understand,73,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:37:29,111111,1761244407,Basic Syntax,Analyze,336,c,a,False,3,⬆️ Progressing to: Analyze
2025-10-23 14:37:39,111111,1761244407,Basic Syntax,Analyze,278,c,b,False,3,⬆️ Progressing to: Analyze
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:28,111111,1761244407,Basic Syntax,Understand,55,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:54,111111,1761244407,Basic Syntax,Understand,205,c,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:37:10,111111,1761244407,Basic Syntax,Understand,73,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:37:29,111111,1761244407,Basic Syntax,Analyze,336,c,a,False,3,⬆️ Progressing to: Analyze
2025-10-23 14:37:39,111111,1761244407,Basic Syntax,Analyze,278,c,b,False,3,⬆️ Progressing to: Analyze
2025-10-23 14:38:08,111111,1761244407,Basic Syntax,Analyze,107,a,a,True,3,⬆️ Progressing to: Analyze
2025-10-23 14:36:02,111111,1761244407,Basic Syntax,Understand,84,a,b,False,3,⬆️ Progressing to: Understand
2025-10-23 14:36:28,111111,1761244407,Basic Syntax,Understand,55,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:36:54,111111,1761244407,Basic Syntax,Understand,205,c,a,False,3,⬆️ Progressing to: Understand
2025-10-23 14:37:10,111111,1761244407,Basic Syntax,Understand,73,a,a,True,3,⬆️ Progressing to: Understand
2025-10-23 14:37:29,111111,1761244407,Basic Syntax,Analyze,336,c,a,False,3,⬆️ Progressing to: Analyze
2025-10-23 14:37:39,111111,1761244407,Basic Syntax,Analyze,278,c,b,False,3,⬆️ Progressing to: Analyze
2025-10-23 14:38:08,111111,1761244407,Basic Syntax,Analyze,107,a,a,True,3,⬆️ Progressing to: Analyze
2025-10-23 14:38:14,111111,1761244407,Basic Syntax,Analyze,365,a,a,True,3,⬆️ Progressing to: Analyze
2025-10-23 15:30:31,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:30:31,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:30:46,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:30:31,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:30:46,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:31:01,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:30:31,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:30:46,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
2025-10-23 15:31:01,111111,1761247210,Basic Syntax,Understand,68,c,a,False,3,🔖 Reviewing a bookmarked question.
